run_id,age_ldg1,age_ldg2,aids_age_1,aids_age_2,all_reb_in,alp_cov_no,alp_sub_fd,annadv_ind,b_freq_cd,ben_cnt_pp,ben_cnt_pu,bi_esc_cd,bi_esc_frq,bi_esc_max,bi_esc_mnf,bi_esc_mxf,bi_esc_pct,bi_esc_smt,bi_esc_tbl,bo_esc_cd,bo_esc_frq,bo_esc_max,bo_esc_mnf,bo_esc_mxf,bo_esc_pct,bo_esc_smt,bo_esc_tbl,bonus_yr,ca_def_wks,cess_ret_i,ch_r_fx_pf,co_mnm,conv_opt_i,cur_sb_prm,cx_max_trm,dth_ben_pp,dth_ben_pu,entry_date,exp_cnt_pp,exp_cnt_pu,fst_bp_dur,fund_name,gaap_acc_i,gaap_chort,gaap_era,gao_flag,gcf_flag,gmp_flag,gmp_po88,gmp_pr88,group,group_in,gtee_term,in_clm_cd,inalw_earn,inalw_indm,inc_opt_in,ini_tx_prm,init_benf,iso_crn_cd,iso_cty_cd,iss_age_1,iss_age_2,l1_mo_rt_p,l2_mo_rt_p,life_cd,lives_ass,min_benf_m,mv_plan_cd,nxtben_inc,ori_pol_id,orig_term,pen_amt_pp,pen_amt_pu,pol_cnt_pp,pol_cnt_pu,pol_id,pol_sta_cd,pr_esc_cd,pr_esc_frq,pr_esc_max,pr_esc_mnf,pr_esc_mxf,pr_esc_pct,pr_esc_smt,pr_esc_tbl,pr_freq_cd,pr_orig_tm,prem_extra,prem_std,prm_series,product,redndth1pc,ren_opt_in,s32_enhan,sched_pres,sex_cd_1,sex_cd_2,smok_hab1,smok_hab2,stat_date,tty_id,v_dur_mths,val_cl_cd,any_spouse,orig_v_trm,overlap,admin_fee,all_sch_po,ben_e_age1,ben_e_age2,ben_sch_po,bo_esc_spa,ci_cd,clm_amnt_a,comm_ic_n,comm_ic_pc,group_grf,grp_schm,ip_ben_1,ip_ben_2,max_ben_m1,max_ben_m2,mort_add,occ_cd1,occ_cd2,plan,pol_fee,pr_seg,prem_disc,prev_term,reins_prem,re_ot_prop,re_ot_rb_p,re_rp_amt,re_rp_prop,recordno,rider_ip,rp_factor1,rp_factor2,rp_factor3,rp_factor4,rp_factor5,rp_factor6,rp_factor7,rp_factor8,rp_factor9,sa_gross,smok_rtecd,v_dur_benf,valn_month,valn_year,dth_ben_of,ip_ben_of1,ip_ben_of2,prm_amnt_a,ci_rstmt,sa_disc_pc,bmi_discpc,tpd_defn,bi_opt_ind,l1_add_rp,mental_ind,incclm_opt,sup_lk_ind,abo_ind,cio_ind,occ_cd1_t2,agrd_indty,dta_term,pr_xtra_pc,pr_disc_pc,stat_life1,stat_life2,susp_per_1,susp_per_2,ann_tot_pr,model_segment_cd,model_cd,sl_ind,pr_ad_mult,cb_from_date,cb_to_date
,,,,,,20000001-TRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000002-DTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000003-DTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000004-DTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000005-CCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000006-DTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000007-DTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000008-DTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000009-ADB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000010-TPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000011-DTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000012-DTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000013-ADB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000014-TPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000015-CCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000016-TRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20000017-ADB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
